id,categoryId,code,name,description,createdAt,updatedAt
1,1,GB001,Gift Bag በጣም ትልቅ,40cm x 60cm,2025-11-02T18:26:30,2025-11-02T18:26:30
2,1,GB002,Gift Bag ትልቅ,36cm x 47cm,2025-11-02T18:26:30,2025-11-02T18:26:30
3,1,GB003,Gift Bag መካከለኛ,32cm x 3cm,2025-11-02T18:26:30,2025-11-02T18:26:30
4,1,GB004,Gift Bag ትንሽ,26cm x 32cm,2025-11-02T18:26:30,2025-11-02T18:26:30
5,1,GB005,Gift Bag በጣም ትንሽ,18cm x 23cm,2025-11-02T18:26:30,2025-11-02T18:26:30
6,1,GB006,Gift Bag Shine ትልቅ,42cm x 2cm,2025-11-02T18:26:30,2025-11-02T18:26:30
7,1,GB007,Gift Bag Shine ትንሽ,36cm x 27cm,2025-11-02T18:26:30,2025-11-02T18:26:30
8,2,C008,Congra Foil,,2025-11-02T18:26:30,2025-11-02T18:26:30
9,2,C009,Congra የሚነፋ,,2025-11-02T18:26:30,2025-11-02T18:26:30
10,2,C010,Congra Topper,,2025-11-02T18:26:30,2025-11-02T18:26:30
11,2,C011,Congra Banner,,2025-11-02T18:26:30,2025-11-02T18:26:30
12,2,C012,Congra Eye Glass መነፅር,,2025-11-02T18:26:30,2025-11-02T18:26:30
13,3,CT013,Topper Stick,,2025-11-02T18:26:30,2025-11-02T18:26:30
14,3,CT014,Topper Crown,,2025-11-02T18:26:30,2025-11-02T18:26:30
15,3,CT015,Topper Gold,,2025-11-02T18:26:30,2025-11-02T18:26:30
16,3,CT016,Topper Light,,2025-11-02T18:26:30,2025-11-02T18:26:30
17,4,CC017,Number Candle Big,,2025-11-02T18:26:30,2025-11-02T18:26:30
18,4,CC018,Number Candle Medium,,2025-11-02T18:26:30,2025-11-02T18:26:30
19,4,CC019,Cake Candle,,2025-11-02T18:26:30,2025-11-02T18:26:30
20,4,CC020,Number Candle Big,,2025-11-02T18:26:30,2025-11-02T18:26:30
21,4,CC021,ዚግዛግ Candle,,2025-11-02T18:26:30,2025-11-02T18:26:30
22,5,CH022,Candle Holder Black,,2025-11-02T18:26:30,2025-11-02T18:26:30
23,5,CH023,Candle Holder Golden,,2025-11-02T18:26:30,2025-11-02T18:26:30
24,5,CH024,Candle Holder (3 pc/set),,2025-11-02T18:26:30,2025-11-02T18:26:30
25,6,B025,Balloon,,2025-11-02T18:26:30,2025-11-02T18:26:30
26,6,B026,Balloon with Foil,,2025-11-02T18:26:30,2025-11-02T18:26:30
27,6,B027,Balloon (piece),,2025-11-02T18:26:30,2025-11-02T18:26:30
28,6,B028,Foil Balloon,,2025-11-02T18:26:30,2025-11-02T18:26:30
29,6,B029,Balloon Stand,,2025-11-02T18:26:30,2025-11-02T18:26:30
30,6,B030,Balloon Stick,,2025-11-02T18:26:30,2025-11-02T18:26:30
31,6,B031,Balloon Pump (Manual),,2025-11-02T18:26:30,2025-11-02T18:26:30
32,6,B032,Balloon Pump (Electrical),,2025-11-02T18:26:30,2025-11-02T18:26:30
33,6,B033,Welcome Baby (Boy/Girl),,2025-11-02T18:26:30,2025-11-02T18:26:30
34,7,T034,Tyara,,2025-11-02T18:26:30,2025-11-02T18:26:30
35,7,T035,ብረት,,2025-11-02T18:26:30,2025-11-02T18:26:30
36,8,BC036,Plate ሰሀን ክብ,,2025-11-02T18:26:30,2025-11-02T18:26:30
37,8,BC037,Plate ሰሀን ክብ 4 ማዕዘን,,2025-11-02T18:26:30,2025-11-02T18:26:30
38,8,BC038,Plate ሰሀን ክብ diamond,,2025-11-02T18:26:30,2025-11-02T18:26:30
39,8,BC039,Fork ሹካ (Gold & Solve 20 pc/set),,2025-11-02T18:26:30,2025-11-02T18:26:30
40,8,BC040,Knife ቢላ ላይና Goal & Silver,,2025-11-02T18:26:30,2025-11-02T18:26:30
41,8,BC041,Cup ኩባያ,,2025-11-02T18:26:30,2025-11-02T18:26:30
42,8,BC042,Napkin,,2025-11-02T18:26:30,2025-11-02T18:26:30
43,8,BC043,HBD Bag (Tool Bag),,2025-11-02T18:26:30,2025-11-02T18:26:30
44,8,BC044,Cup cake,,2025-11-02T18:26:30,2025-11-02T18:26:30
